BHP,ULEZ,body,engine,fuel,mileage,owners,price,transmission,year,make,model,missing_BHP,sport,se,amg,tfsi,nav,tsi,tdi,premium,dci,m sport,sportback,edition,tech,crdi,tronic,cod,s line,bluetooth,leather,performance,2dr,3dr,4dr,5dr,dsg,speed,gti,gtd,gte,year_reg,age
114.0,ULEZ,Hatchback,1.6,Diesel,25677,2.0,11075,Manual,2017,Audi,A1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,18997,2.0,12200,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
94.0,ULEZ,Hatchback,1.0,Petrol,23858,2.0,11100,Manual,2017,Audi,A1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17 reg,3
123.0,ULEZ,Hatchback,1.4,Petrol,19515,2.0,12550,Manual,2017,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,3
114.0,ULEZ,Hatchback,1.6,Diesel,22747,2.0,10675,Manual,2017,Audi,A1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17 reg,3
148.0,ULEZ,Hatchback,1.4,Petrol,28842,2.0,13900,Manual,2017,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,17 reg,3
114.0,ULEZ,Hatchback,1.4,Petrol,25968,2.0,11699,Manual,2017,Audi,A1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17 reg,3
93.0,ULEZ,Hatchback,1.0,Petrol,16272,2.0,15690,Manual,2018,Audi,A1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68 reg,2
123.0,ULEZ,Hatchback,1.4,Petrol,18093,2.0,12475,Manual,2018,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18 reg,2
148.0,ULEZ,Hatchback,1.4,Petrol,18479,2.0,16450,Manual,2018,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,67 reg,2
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,12890,2.0,21250,Automatic,2018,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,68 reg,2
114.0,ULEZ,Hatchback,1.4,Petrol,18000,2.0,16150,Automatic,2018,Audi,A1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68 reg,2
123.0,ULEZ,Hatchback,1.4,Petrol,11668,2.0,13450,Manual,2018,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68 reg,2
123.0,ULEZ,Hatchback,1.4,Petrol,17579,2.0,14075,Manual,2018,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,18 reg,2
123.0,ULEZ,Hatchback,1.4,Petrol,14163,2.0,13825,Manual,2018,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68 reg,2
93.1,ULEZ,Hatchback,1.0,Petrol,12250,2.0,13500,Manual,2018,Audi,A1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18 reg,2
114.0,ULEZ,Hatchback,1.0,Petrol,11800,2.0,17291,Manual,2019,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 reg,1
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,15000,2.0,20000,Manual,2019,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,19 reg,1
148.0,ULEZ,Hatchback,1.5,Petrol,3735,2.0,19950,Manual,2019,Audi,A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19 reg,1
114.0,ULEZ,Hatchback,1.0,Petrol,19295,2.0,15799,Automatic,2020,Audi,A1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69 reg,0
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,3500,2.0,24000,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70 reg,0
147.0,ULEZ,Hatchback,1.5,Petrol,5000,2.0,23400,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70 reg,0
93.1,ULEZ,Hatchback,1.0,Petrol,6000,2.0,20000,Manual,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,69 reg,0
93.1,ULEZ,Hatchback,1.0,Petrol,2000,2.0,21450,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
93.1,ULEZ,Hatchback,1.0,Petrol,5250,2.0,22000,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
147.0,ULEZ,Hatchback,1.5,Petrol,2500,2.0,23400,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70 reg,0
147.0,ULEZ,Hatchback,1.5,Petrol,5000,2.0,23400,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70 reg,0
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,3400,2.0,22500,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,2500,2.0,22500,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
147.0,ULEZ,Hatchback,1.5,Petrol,5000,2.0,23400,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70 reg,0
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,4500,2.0,21750,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,3650,2.0,22500,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,7620,2.0,22000,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,7650,2.0,22500,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
147.0,ULEZ,Hatchback,1.5,Petrol,6500,2.0,22500,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,3600,2.0,21750,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20 reg,0
113.67999999999999,ULEZ,Hatchback,1.0,Petrol,7500,2.0,21500,Automatic,2020,Audi,A1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,69 reg,0
134.0,ULEZ,Coupe,1.5,Petrol,11479,2.0,12499,Manual,2017,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66 reg,3
188.0,ULEZ,Coupe,2.0,Diesel,22397,2.0,16000,Automatic,2017,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67 reg,3
340.0,ULEZ,Coupe,3.0,Petrol,20512,2.0,25000,Automatic,2017,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67 reg,3
136.0,ULEZ,Coupe,1.5,Petrol,23408,2.0,15300,Manual,2017,BMW,2-Series,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67 reg,3
340.0,ULEZ,Coupe,3.0,Petrol,38830,2.0,19250,Manual,2017,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17 reg,3
335.0,ULEZ,Coupe,3.0,Petrol,26350,2.0,21295,Automatic,2017,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66 reg,3
148.0,ULEZ,Convertible,2.0,Diesel,40893,2.0,14699,Automatic,2017,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66 reg,3
340.0,ULEZ,Coupe,3.0,Petrol,28785,2.0,21750,Automatic,2017,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17 reg,3
136.0,ULEZ,Convertible,1.5,Petrol,37115,2.0,15750,Manual,2017,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17 reg,3
190.0,ULEZ,Coupe,2.0,Diesel,34495,2.0,16800,Automatic,2017,BMW,2-Series,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,67 reg,3
134.0,Non-ULEZ,Coupe,1.5,Petrol,32634,2.0,14499,Automatic,2017,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 reg,3
