BHP,ULEZ,body,engine,fuel,link,mileage,name,owners,price,transmission,year
201.0,ULEZ,Hatchback,1.4L,Hybrid – Petrol/Electric Plug-in,https://www.autotrader.co.uk/car-details/202009033277258,26213,Audi A3 1.4L e-tron TFSI 5dr,,"£17,500",Automatic,2017 (67 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010165073034,32976,Audi A3 1.4L S line CoD TFSI 4dr,,"£15,600",Manual,2017 (17 reg)
187.0,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011236407643,47040,Audi A3 2L S line TFSI 3dr,,"£16,150",Automatic,2017 (17 reg)
148.0,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012127027443,27840,Audi A3 2L Sport TDI 4dr,,"£15,925",Automatic,2017 (67 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202010175125570,40023,Audi A3 1.6 TDI 116 SE Technik 5dr S Tronic Satellite Navigation,,"£13,800",Automatic,2017 (67 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011266515508,20438,Audi A3 1.0 TFSI Sport 5dr,,"£13,599",Manual,2017 (67 reg)
148.0,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202009224033346,39527,Audi A3 2L S line TDI 5dr,,"£15,000",Manual,2017 (17 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202009244135897,14700,Audi A3 Sportback S line 2.0 TFSI 190 PS 6-speed 5dr,,"£19,250",Manual,2017 (67 reg)
187.0,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011196284352,20720,Audi A3 2L S line TFSI 5dr,,"£20,325",Automatic,2017 (67 reg)
148.0,ULEZ,Saloon,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202010165066898,21878,Audi A3 1.5L S line CoD TFSI 4dr,,"£16,625",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011116019614,16289,Audi A3 1.0 TFSI SE 3dr,,"£12,599",Manual,2017 (67 reg)
148.0,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010064679217,34838,Audi A3 2L S line TDI 4dr,,"£17,025",Automatic,2017 (17 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010144995854,26668,Audi A3 1.4L S line CoD TFSI 4dr,,"£16,175",Manual,2017 (17 reg)
,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012076859235,23952,Audi A3 2.0 TDI Sport 4dr,,"£14,599",Manual,2017 (17 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202008252892057,21756,Audi A3 1.4L S line CoD TFSI 4dr,,"£16,100",Manual,2017 (66 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202008192668319,50000,Audi A3 1.6 TDI S Line 5dr Satellite Navigation,,"£13,850",Manual,2017 (17 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011226366840,33510,Audi A3 1.5L S line CoD TFSI 5dr,,"£16,700",Manual,2017 (67 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202008232837603,18864,Audi A3 1.4L S line CoD TFSI 4dr,,"£16,300",Manual,2017 (17 reg)
,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011236409927,36288,Audi A3 2.0 TDI Black Edition 5dr Bluetooth,,"£17,250",Manual,2017 (17 reg)
148.0,ULEZ,Hatchback,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011055810646,22587,Audi A3 2L S line TDI 5dr,,"£18,225",Automatic,2017 (66 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009304418798,13919,Audi A3 1.5L S line CoD TFSI 5dr,,"£18,375",Manual,2017 (67 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011256480413,33591,Audi A3 1.5L SE CoD TFSI 3dr,,"£12,350",Manual,2017 (67 reg)
114.0,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011306638664,30167,Audi A3 1L SE TFSI 5dr,,"£12,175",Manual,2017 (67 reg)
108.0,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202011015664857,22634,Audi A3 1.6L SE TDI 5dr,,"£14,350",Automatic,2017 (67 reg)
148.0,ULEZ,Saloon,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009183882666,22904,Audi A3 1.5L S line CoD TFSI 4dr,,"£16,400",Manual,2017 (17 reg)
148.0,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010144974415,16968,Audi A3 1.4L Black Edition CoD TFSI 5dr,,"£18,325",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202012157114373,40651,Audi A3 1.4 TFSI Sport 5dr Satellite Navigation,,"£13,800",Manual,2017 (17 reg)
,ULEZ,Hatchback,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202010195190202,21112,Audi A3 2.0 TFSI Sport 5dr S Tronic Satellite Navigation,,"£16,000",Automatic,2017 (67 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009264233507,13702,Audi A3 1.5L S line CoD TFSI 5dr,,"£17,900",Manual,2017 (67 reg)
108.0,ULEZ,Saloon,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202011025696201,31093,Audi A3 1.6L S line TDI 4dr,,"£16,425",Automatic,2017 (17 reg)
148.0,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010305608882,15828,Audi A3 2L Black Edition TDI 4dr,,"£19,025",Manual,2017 (17 reg)
,ULEZ,Hatchback,1.6L,Diesel,https://www.autotrader.co.uk/car-details/202008192676607,52750,Audi A3 Sportback Sport 1.6 TDI 110 PS S tronic 5dr,,"£14,500",Automatic,2017 (17 reg)
