BHP,ULEZ,body,engine,fuel,link,mileage,name,owners,price,transmission,year
114,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202010024513799,11800,Audi A1 1.0 SPORTBACK TFSI SPORT 5d 114 BHP RAC APPROVED ?€?,,"??17,291",Manual,2019 (19 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202010144977136,15000,Audi A1 Sportback S line 30 TFSI 116 PS 6-speed 1.0 5dr,,"??20,000",Manual,2019 (19 reg)
148,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011136088022,3735,Audi A1 1.5L S line TFSI 5dr,,"??19,950",Manual,2019 (19 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011126061900,19295,Audi A1 1.0 TFSI 25 Technik Sportback S Tronic (s/s) 5dr,,"??15,799",Automatic,2020 (69 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202010024495928,3500,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??24,000",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009153755005,5000,Audi A1 Sportback S line 35 TFSI 150 PS S tronic 1.5 5dr,,"??23,400",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202009113594381,6000,Audi A1 Sportback S line 25 TFSI 95 PS 5-speed 1.0 5dr,,"??20,000",Manual,2020 (69 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202006300672567,2000,Audi A1 Sportback S line 25 TFSI 95 PS S tronic 1.0 5dr,,"??21,450",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202007161327179,5250,Audi A1 Sportback S line 25 TFSI 95 PS S tronic 1.0 5dr,,"??22,000",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009224039331,2500,Audi A1 Sportback S line 35 TFSI 150 PS S tronic 1.5 5dr,,"??23,400",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009153755001,5000,Audi A1 Sportback S line 35 TFSI 150 PS S tronic 1.5 5dr,,"??23,400",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202007020769435,3400,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??22,500",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202007241628979,2500,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??22,500",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009153754998,5000,Audi A1 Sportback S line 35 TFSI 150 PS S tronic 1.5 5dr,,"??23,400",Automatic,2020 (70 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202003037950485,4500,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??21,750",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202007020769431,3650,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??22,500",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011266495532,7620,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??22,000",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202007020769438,7650,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??22,500",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202007030802408,6500,Audi A1 Sportback S line 35 TFSI 150 PS S tronic 1.5 5dr,,"??22,500",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202006270575340,3600,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??21,750",Automatic,2020 (20 reg)
,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202002137272586,7500,Audi A1 Sportback S line 30 TFSI 116 PS S tronic 1.0 5dr,,"??21,500",Automatic,2020 (69 reg)
134,ULEZ,Coupe,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202012106978426,11479,BMW 2 SERIES 1.5 218I SPORT 2d 134 BHP AIR CON - ALLOYS - ?€?,,"??12,499",Manual,2017 (66 reg)
188,ULEZ,Coupe,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012036740612,22397,BMW 2 SERIES 2.0 220D XDRIVE SPORT 2d 188 BHP,,"??16,000",Automatic,2017 (67 reg)
340,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202012177191918,20512,BMW 2 Series M240i Coupe 3.0 2dr,,"??25,000",Automatic,2017 (67 reg)
136,ULEZ,Coupe,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009113604977,23408,BMW 2 Series 218i M Sport 2dr [Nav] Satellite Navigation 1.5,,"??15,300",Manual,2017 (67 reg)
340,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202011236395293,38830,BMW 2 Series M240i Coupe 3.0 2dr,,"??19,250",Manual,2017 (17 reg)
335,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202009284298880,26350,BMW 2 SERIES 3.0 M240I 2d 335 BHP,,"??21,295",Automatic,2017 (66 reg)
148,ULEZ,Convertible,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011256469854,40893,BMW 2 SERIES 2.0 218D SPORT 2d 148 BHP AIR CON - 2 KEYS - ?€?,,"??14,699",Automatic,2017 (66 reg)
340,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202011306632177,28785,BMW 2 Series M240i Coupe 3.0 2dr,,"??21,750",Automatic,2017 (17 reg)
136,ULEZ,Convertible,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011116021335,37115,BMW 2 Series 218i Sport Convertible 1.5 2dr,,"??15,750",Manual,2017 (17 reg)
190,ULEZ,Coupe,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012227325064,34495,BMW 2 Series 220d M Sport 2dr [Nav] Step Auto Leather Seats 2.0,,"??16,800",Automatic,2017 (67 reg)
134,,Coupe,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202012157115937,32634,BMW 2 SERIES 1.5 218I M SPORT 2d AUTO 134 BHP COUPE,,"??14,499",Automatic,2017 (17 reg)
190,ULEZ,Coupe,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012106960590,18522,BMW 2 Series 220d M Sport Coupe 2.0 2dr,,"??19,250",Automatic,2017 (67 reg)
136,ULEZ,Convertible,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202010195190691,25351,BMW 2 Series 1.5L Sport 218i 2dr,,"??16,300",Automatic,2017 (17 reg)
252,ULEZ,Convertible,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011256459385,20249,BMW 2 Series 230i M Sport 2dr [Nav] Leather Seats 2.0,,"??17,500",Manual,2017 (17 reg)
,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202012187221369,30927,BMW 2 Series M240i Coupe 3.0 2dr,,"??23,500",Automatic,2018 (68 reg)
136,ULEZ,Coupe,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202010315634730,27220,BMW 2 Series 1.5L Sport 218i 2dr,,"??14,175",Manual,2018 (18 reg)
248,ULEZ,Coupe,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011256483608,20102,BMW 2 Series 230i M Sport Coupe 2.0 2dr,,"??21,500",Automatic,2018 (18 reg)
136,ULEZ,Coupe,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011065844530,19464,BMW 2 Series 1.5L M Sport 218i 2dr,,"??16,625",Manual,2018 (18 reg)
335,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202011286570678,17652,BMW 2 Series 3L M240i 2dr,,"??23,625",Automatic,2018 (68 reg)
192,ULEZ,Coupe,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202012016657669,14741,BMW 2 Series 220i M Sport 2dr [Nav] Step Auto Leather Seats 2.0,,"??19,000",Automatic,2018 (67 reg)
136,ULEZ,Convertible,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202012127028668,14458,BMW 2 Series 1.5L M Sport 218i 2dr,,"??17,450",Manual,2018 (18 reg)
136,ULEZ,Coupe,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202010014468264,23659,BMW 2 Series 1.5L M Sport 218i 2dr,,"??16,450",Manual,2018 (18 reg)
150,ULEZ,Coupe,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012187222204,26269,BMW 2 Series 218d M Sport 2dr Step Auto [Nav] Satellite ?€?,,"??17,000",Automatic,2018 (67 reg)
340,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202009173871957,9699,BMW 2 Series 3L M240i 2dr,,"??23,700",Automatic,2018 (67 reg)
